_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,extra_people,guests_included,weekly_price,monthly_price,reviews_per_month
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,123,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",46.0,10.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1.0,1.0,239,1.0,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",45.0,10.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,1,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",966.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,9,3.0,4.0,22,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",180.0,19.0,4,1530.9033613445379,5391.370426829269,1.7127659574468086
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,2.0,2.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",220.0,0.0,1,1400.0,5391.370426829269,1.7127659574468086
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2,1.0,2.0,8,3.5,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",64.0,0.0,1,500.0,2000.0,1.7127659574468086
10184012,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,2.0,2.0,0,1.0,"['Air conditioning', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hangers', 'Iron']",380.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10186755,Roof double bed private room,Loft,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",185.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,1,1.0,1.0,62,1.0,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",34.0,10.0,1,250.0,900.0,1.7127659574468086
10199760,Uygun nezih daire,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",264.0,53.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,2.0,2.0,24,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",298.0,50.0,2,1530.9033613445379,5391.370426829269,1.7127659574468086
10209136,"Friendly Apartment, 10m from Manly",Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,4,1.0,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Essentials']",36.0,20.0,2,1530.9033613445379,5391.370426829269,1.7127659574468086
10213499,Great studio opp. Narrabeen Lake,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,61,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Heating', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection']",117.0,20.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10215858,Cozy Queen Guest Room&My,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2,1.0,1.0,9,1.0,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",330.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,Real Bed,2,30,flexible,6,3.0,3.0,0,3.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Safety card', 'Fire extinguisher', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50']",746.0,187.0,4,1530.9033613445379,5391.370426829269,1.7127659574468086
1022200,"Kailua-Kona, Kona Coast II 2b condo",Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,6,2.0,3.0,1,2.0,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Family/kid friendly', 'Washer', 'Dryer']",135.0,0.0,1,950.0,5391.370426829269,1.7127659574468086
10227000,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",499.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10228731,Quarto inteiro na Tijuca,Apartment,Private room,Real Bed,1,15,flexible,1,1.0,1.0,1,2.0,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer']",149.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3,1.0,2.0,22,1.0,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",400.0,0.0,1,1530.9033613445379,5391.370426829269,1.7127659574468086
